"CMS Certification Number (CCN)","State","Percent of residents who are up-to-date on their vaccines","Percent of staff who are up-to-date on their vaccines","Date vaccination data last updated"
"065347","CO","74.1","100.0","10/27/2024"
"065351","CO","0.0","0.0","10/27/2024"
"065354","CO","4.8","0.0","10/27/2024"
"065355","CO","73.9","0.0","10/27/2024"
"065356","CO","0.0","4.0","10/27/2024"
"065358","CO","0.0","0.0","10/27/2024"
"065359","CO","69.6","0.0","10/27/2024"
"065360","CO","0.0","0.0","10/27/2024"
"065361","CO","0.0","0.9","10/27/2024"
"065366","CO","29.5","5.6","10/27/2024"
"065367","CO","31.9","Not Available","10/27/2024"
"065368","CO","1.4","0.0","10/27/2024"
"065370","CO","11.0","0.0","10/27/2024"
"065373","CO","63.2","50.0","10/27/2024"
"065376","CO","2.5","1.8","10/27/2024"
"065377","CO","63.6","16.7","10/27/2024"
"065378","CO","20.0","4.1","10/27/2024"
"065379","CO","0.0","0.0","10/27/2024"
"065380","CO","63.8","0.8","10/27/2024"
"065381","CO","42.3","0.0","10/27/2024"
"065382","CO","8.7","0.9","10/27/2024"
"065384","CO","0.0","0.0","10/27/2024"
"065386","CO","0.0","0.9","10/27/2024"
"065387","CO","1.8","7.1","10/27/2024"
"065388","CO","46.2","0.0","10/27/2024"
"065390","CO","6.9","0.8","10/27/2024"
"065391","CO","0.0","0.0","10/27/2024"
"065393","CO","21.7","8.1","10/27/2024"
"065394","CO","57.1","2.5","10/27/2024"
"065395","CO","8.3","14.8","10/27/2024"
"065396","CO","58.1","19.1","10/27/2024"
"065397","CO","42.3","2.2","10/27/2024"
"065398","CO","0.0","7.2","10/27/2024"
"065399","CO","75.9","4.0","10/27/2024"
"065400","CO","0.0","0.0","10/27/2024"
"065401","CO","12.5","3.4","10/27/2024"
"065402","CO","0.0","4.9","10/27/2024"
"065403","CO","18.4","0.0","10/27/2024"
"065404","CO","45.2","0.0","10/27/2024"
"065405","CO","0.0","0.0","10/27/2024"
"065407","CO","Not Available","Not Available","10/27/2024"
"065408","CO","Not Available","Not Available","10/27/2024"
"065409","CO","73.2","91.0","10/27/2024"
"065410","CO","45.0","8.1","10/27/2024"
"065411","CO","6.3","4.1","10/27/2024"
"065412","CO","40.5","0.0","10/27/2024"
"065413","CO","19.2","0.0","10/27/2024"
"065414","CO","0.0","0.0","10/27/2024"
"065415","CO","0.0","0.0","10/27/2024"
"065416","CO","28.7","13.8","10/27/2024"
"065417","CO","1.1","0.0","10/27/2024"
"065418","CO","1.3","0.0","10/27/2024"
"065419","CO","2.8","12.5","10/27/2024"
"065420","CO","0.0","0.0","10/27/2024"
"065423","CO","2.0","0.0","10/27/2024"
"065424","CO","0.0","0.0","10/27/2024"
"065425","CO","11.6","16.3","10/27/2024"
"065427","CO","7.9","7.1","10/27/2024"
"065429","CO","0.0","0.0","10/27/2024"
"065430","CO","5.9","0.0","10/27/2024"
"065431","CO","2.9","0.0","10/27/2024"
"065432","CO","72.7","12.1","10/27/2024"
"065435","CO","0.0","0.0","10/27/2024"
"06A172","CO","Not Available","Not Available","10/27/2024"
"06A173","CO","66.7","0.0","10/27/2024"
"06A175","CO","65.2","9.4","10/27/2024"
"06A185","CO","52.4","16.4","10/27/2024"
"06A190","CO","59.5","3.0","10/27/2024"
"06A192","CO","47.6","26.5","10/27/2024"
"075001","CT","2.5","1.5","10/27/2024"
"075011","CT","0.0","2.2","10/27/2024"
"075017","CT","0.0","0.0","10/27/2024"
"075031","CT","79.1","14.5","10/27/2024"
"075034","CT","0.9","0.0","10/27/2024"
"075044","CT","65.5","2.5","10/27/2024"
"075047","CT","45.3","0.0","10/27/2024"
"075057","CT","61.8","2.5","10/27/2024"
"075060","CT","65.3","72.8","10/27/2024"
"075061","CT","0.0","0.0","10/27/2024"
"075063","CT","0.0","0.0","10/27/2024"
"075064","CT","3.0","0.0","10/27/2024"
"075070","CT","Not Available","Not Available","10/27/2024"
"075074","CT","1.6","0.0","10/27/2024"
"075078","CT","27.4","0.0","10/27/2024"
"075079","CT","61.7","0.5","10/27/2024"
"075084","CT","1.8","0.0","10/27/2024"
"075085","CT","0.5","0.6","10/27/2024"
"075089","CT","84.4","0.0","10/27/2024"
"075105","CT","0.0","0.5","10/27/2024"
"075109","CT","0.8","0.0","10/27/2024"
"075111","CT","53.3","0.0","10/27/2024"
"075113","CT","Not Available","Not Available","10/27/2024"
"075117","CT","Not Available","Not Available","10/27/2024"
"075135","CT","0.4","0.0","10/27/2024"
"075138","CT","52.1","0.0","10/27/2024"
"075144","CT","78.5","0.7","10/27/2024"
"075146","CT","0.0","4.5","10/27/2024"
"075153","CT","0.8","0.7","10/27/2024"
"075158","CT","75.0","0.0","10/27/2024"
"075159","CT","0.0","0.0","10/27/2024"
"075163","CT","0.0","3.8","10/27/2024"
"075181","CT","45.9","0.0","10/27/2024"
"075182","CT","11.5","3.0","10/27/2024"
"075183","CT","2.8","0.0","10/27/2024"
"075192","CT","21.2","0.0","10/27/2024"
"075195","CT","0.0","0.0","10/27/2024"
"075196","CT","80.7","0.4","10/27/2024"
"075198","CT","27.3","0.0","10/27/2024"
"075200","CT","19.3","1.2","10/27/2024"
"075201","CT","75.3","0.0","10/27/2024"
"075202","CT","Not Available","Not Available","10/27/2024"
"075208","CT","41.4","0.0","10/27/2024"
"075211","CT","60.7","100.0","10/27/2024"
"075213","CT","0.0","12.2","10/27/2024"
"075214","CT","75.0","3.8","10/27/2024"
"075216","CT","46.3","2.6","10/27/2024"
"075219","CT","56.3","0.0","10/27/2024"
"075221","CT","44.4","6.5","10/27/2024"
"075222","CT","0.0","0.0","10/27/2024"
"075228","CT","Not Available","Not Available","10/27/2024"
"075230","CT","Not Available","Not Available","10/27/2024"
"075231","CT","82.8","0.0","10/27/2024"
"075232","CT","0.0","0.0","10/27/2024"
"075235","CT","9.0","1.4","10/27/2024"
"075236","CT","1.7","0.0","10/27/2024"
"075237","CT","5.8","0.0","10/27/2024"
"075238","CT","0.9","0.0","10/27/2024"
"075240","CT","66.4","4.3","10/27/2024"
"075241","CT","0.0","0.4","10/27/2024"
"075243","CT","1.5","2.1","10/27/2024"
"075244","CT","64.9","1.6","10/27/2024"
"075246","CT","0.0","0.0","10/27/2024"
"075250","CT","0.7","0.6","10/27/2024"
"075252","CT","0.0","0.0","10/27/2024"
"075253","CT","64.3","0.8","10/27/2024"
"075257","CT","0.0","0.3","10/27/2024"
"075258","CT","0.0","1.3","10/27/2024"
"075261","CT","36.8","3.7","10/27/2024"
"075263","CT","0.6","0.0","10/27/2024"
"075264","CT","0.0","0.0","10/27/2024"
"075265","CT","3.7","2.7","10/27/2024"
"075268","CT","14.5","0.0","10/27/2024"
"075270","CT","0.0","2.7","10/27/2024"
"075271","CT","2.4","0.7","10/27/2024"
"075272","CT","84.0","0.0","10/27/2024"
"075274","CT","0.0","2.4","10/27/2024"
"075275","CT","6.0","0.5","10/27/2024"
"075278","CT","56.8","4.4","10/27/2024"
"075279","CT","0.0","98.8","10/27/2024"
"075286","CT","1.3","1.0","10/27/2024"
"075288","CT","23.2","2.4","10/27/2024"
"075290","CT","7.7","1.8","10/27/2024"
"075292","CT","0.0","0.3","10/27/2024"
"075293","CT","0.0","2.7","10/27/2024"
"075294","CT","0.0","5.4","10/27/2024"
"075295","CT","44.4","1.6","10/27/2024"
"075296","CT","1.4","0.0","10/27/2024"
"075299","CT","36.4","1.3","10/27/2024"
"075300","CT","Not Available","Not Available","10/27/2024"
"075301","CT","76.8","2.5","10/27/2024"
"075306","CT","1.9","3.1","10/27/2024"
"075307","CT","30.1","5.7","10/27/2024"
"075309","CT","0.0","0.0","10/27/2024"
"075310","CT","66.7","4.2","10/27/2024"
"075312","CT","1.0","0.0","10/27/2024"
"075313","CT","2.6","7.6","10/27/2024"
"075314","CT","0.0","0.0","10/27/2024"
"075316","CT","3.1","0.0","10/27/2024"
"075317","CT","0.0","0.0","10/27/2024"
"075318","CT","12.9","0.0","10/27/2024"
"075319","CT","15.2","0.0","10/27/2024"
"075320","CT","0.0","0.0","10/27/2024"
"075321","CT","0.0","0.4","10/27/2024"
"075322","CT","67.5","8.2","10/27/2024"
"075323","CT","36.2","0.0","10/27/2024"
"075324","CT","1.8","0.0","10/27/2024"
"075325","CT","0.0","0.0","10/27/2024"
"075326","CT","0.6","0.0","10/27/2024"
"075327","CT","48.2","3.9","10/27/2024"
"075329","CT","10.2","2.7","10/27/2024"
"075330","CT","0.0","0.0","10/27/2024"
"075331","CT","1.2","0.0","10/27/2024"
"075332","CT","5.5","0.0","10/27/2024"
"075333","CT","0.0","0.0","10/27/2024"
"075334","CT","2.7","1.6","10/27/2024"
"075335","CT","82.8","1.3","10/27/2024"
"075336","CT","41.7","1.0","10/27/2024"
"075337","CT","0.7","0.5","10/27/2024"
"075338","CT","1.6","3.4","10/27/2024"
"075339","CT","0.0","0.3","10/27/2024"
"075341","CT","39.2","0.5","10/27/2024"
"075343","CT","4.9","2.0","10/27/2024"
"075345","CT","0.0","0.0","10/27/2024"
"075347","CT","3.2","1.5","10/27/2024"
"075348","CT","22.2","0.0","10/27/2024"
"075349","CT","61.0","0.0","10/27/2024"
"075350","CT","22.9","11.2","10/27/2024"
"075351","CT","45.0","0.0","10/27/2024"
"075352","CT","0.0","0.0","10/27/2024"
"075353","CT","61.3","0.0","10/27/2024"
"075354","CT","Not Available","Not Available","10/27/2024"
"075355","CT","0.0","0.0","10/27/2024"
"075356","CT","0.0","0.0","10/27/2024"
"075358","CT","69.0","1.8","10/27/2024"
"075359","CT","0.0","0.0","10/27/2024"
"075361","CT","3.8","0.4","10/27/2024"
"075362","CT","42.1","2.8","10/27/2024"
"075365","CT","42.4","0.0","10/27/2024"
"075366","CT","0.8","0.0","10/27/2024"
"075367","CT","0.0","0.5","10/27/2024"
"075368","CT","82.6","0.0","10/27/2024"
"075371","CT","5.7","5.4","10/27/2024"
"075373","CT","47.4","0.0","10/27/2024"
"075374","CT","Not Available","Not Available","10/27/2024"
"075375","CT","53.4","9.2","10/27/2024"
"075377","CT","0.0","3.3","10/27/2024"
"075378","CT","79.7","1.3","10/27/2024"
"075379","CT","29.2","1.4","10/27/2024"
"075380","CT","70.6","0.0","10/27/2024"
"075381","CT","0.0","0.0","10/27/2024"
"075382","CT","0.0","Not Available","10/27/2024"
"075383","CT","0.0","2.8","10/27/2024"
"075384","CT","3.4","0.0","10/27/2024"
"075386","CT","1.9","4.3","10/27/2024"
"075387","CT","0.0","0.0","10/27/2024"
"075388","CT","66.0","0.0","10/27/2024"
"075389","CT","77.0","0.0","10/27/2024"
"075390","CT","0.0","0.0","10/27/2024"
"075393","CT","44.2","1.7","10/27/2024"
"075394","CT","0.0","0.0","10/27/2024"
"075395","CT","0.0","0.0","10/27/2024"
"075396","CT","1.1","0.6","10/27/2024"
"075397","CT","0.0","0.0","10/27/2024"
"075400","CT","1.2","0.0","10/27/2024"
"075402","CT","24.8","5.9","10/27/2024"
"075403","CT","Not Available","Not Available","10/27/2024"
"075404","CT","0.0","0.5","10/27/2024"
"075405","CT","7.8","3.7","10/27/2024"
"075407","CT","4.2","0.0","10/27/2024"
"075408","CT","69.0","6.8","10/27/2024"
"075410","CT","0.0","1.9","10/27/2024"
"075411","CT","20.9","0.7","10/27/2024"
"075412","CT","2.0","0.0","10/27/2024"
"075413","CT","23.3","0.0","10/27/2024"
"075414","CT","40.4","0.0","10/27/2024"
"075415","CT","4.8","2.6","10/27/2024"
"075416","CT","29.9","0.5","10/27/2024"
"075418","CT","1.1","0.0","10/27/2024"
"075419","CT","15.0","0.0","10/27/2024"
"075420","CT","1.4","0.0","10/27/2024"
"075421","CT","58.7","5.1","10/27/2024"
"075423","CT","57.6","0.4","10/27/2024"
"075425","CT","69.7","1.4","10/27/2024"
"075429","CT","10.3","0.7","10/27/2024"
"075431","CT","2.4","0.6","10/27/2024"
"075432","CT","Not Available","0.0","10/27/2024"
"075434","CT","1.7","2.2","10/27/2024"
"075436","CT","0.0","0.0","10/27/2024"
"075437","CT","5.7","2.1","10/27/2024"
"075438","CT","67.6","0.0","10/27/2024"
"075439","CT","0.0","0.0","10/27/2024"
"075440","CT","Not Available","Not Available","10/27/2024"
"075441","CT","Not Available","Not Available","10/27/2024"
"075442","CT","24.2","0.0","10/27/2024"
"075443","CT","67.4","1.0","10/27/2024"
"085001","DE","1.0","0.6","10/27/2024"
"085002","DE","0.7","1.7","10/27/2024"
"085003","DE","62.1","2.2","10/27/2024"
"085004","DE","0.0","0.0","10/27/2024"
"085006","DE","3.0","0.0","10/27/2024"
"085009","DE","78.0","0.9","10/27/2024"
"085010","DE","Not Available","Not Available","10/27/2024"
"085012","DE","68.2","1.6","10/27/2024"
"085013","DE","73.2","2.8","10/27/2024"
"085015","DE","0.0","4.7","10/27/2024"
"085017","DE","78.1","0.8","10/27/2024"
"085019","DE","1.3","0.6","10/27/2024"
"085020","DE","Not Available","Not Available","10/27/2024"
"085021","DE","24.1","1.0","10/27/2024"
"085025","DE","41.8","1.2","10/27/2024"
"085026","DE","89.7","0.0","10/27/2024"
"085027","DE","4.2","3.1","10/27/2024"
"085028","DE","0.8","0.0","10/27/2024"
"085029","DE","Not Available","Not Available","10/27/2024"
"085031","DE","55.0","3.0","10/27/2024"
"085032","DE","96.6","98.7","10/27/2024"
"085033","DE","8.5","0.0","10/27/2024"
"085034","DE","56.4","0.5","10/27/2024"
"085035","DE","0.0","0.0","10/27/2024"
"085037","DE","6.0","0.0","10/27/2024"
"085039","DE","35.3","0.0","10/27/2024"
"085040","DE","2.8","0.7","10/27/2024"
"085041","DE","0.0","0.0","10/27/2024"
"085042","DE","9.2","0.0","10/27/2024"
"085043","DE","96.1","17.0","10/27/2024"
"085047","DE","75.3","1.0","10/27/2024"
"085048","DE","33.7","1.4","10/27/2024"
"085050","DE","80.0","1.0","10/27/2024"
"085051","DE","82.1","26.8","10/27/2024"
"085052","DE","1.5","0.0","10/27/2024"
"085053","DE","96.6","5.4","10/27/2024"
"085054","DE","10.5","0.7","10/27/2024"
"085056","DE","20.2","0.0","10/27/2024"
"085057","DE","4.2","2.1","10/27/2024"
"085058","DE","60.2","0.0","10/27/2024"
"085060","DE","Not Available","Not Available","10/27/2024"
"08A006","DE","88.0","44.2","10/27/2024"
"08A015","DE","69.6","0.0","10/27/2024"
"08A020","DE","95.2","0.0","10/27/2024"
"095014","DC","62.5","6.5","10/27/2024"
"095015","DC","74.1","99.2","10/27/2024"
"095019","DC","100.0","100.0","10/27/2024"
"095020","DC","66.3","96.3","10/27/2024"
"095022","DC","12.3","14.2","10/27/2024"
"095024","DC","51.7","0.0","10/27/2024"
"095025","DC","46.6","15.9","10/27/2024"
"095026","DC","95.2","1.1","10/27/2024"
"095027","DC","25.0","0.0","10/27/2024"
"095028","DC","69.0","7.7","10/27/2024"
"095030","DC","24.0","5.2","10/27/2024"
"095031","DC","81.6","91.9","10/27/2024"
"095034","DC","75.9","8.9","10/27/2024"
"095036","DC","62.1","53.9","10/27/2024"
"095038","DC","73.2","Not Available","10/27/2024"
"095040","DC","Not Available","Not Available","10/27/2024"
"09E020","DC","82.1","16.4","10/27/2024"
"105001","FL","22.5","0.0","10/27/2024"
"105002","FL","24.5","2.1","10/27/2024"
"105005","FL","0.0","37.6","10/27/2024"
"105008","FL","51.1","0.0","10/27/2024"
"105009","FL","Not Available","Not Available","10/27/2024"
"105012","FL","0.0","91.5","10/27/2024"
"105016","FL","0.6","0.0","10/27/2024"
"105029","FL","2.6","0.0","10/27/2024"
"105030","FL","0.6","0.2","10/27/2024"
"105037","FL","3.5","1.8","10/27/2024"
"105038","FL","0.0","1.3","10/27/2024"
"105039","FL","13.5","0.0","10/27/2024"
"105045","FL","0.0","0.0","10/27/2024"
"105050","FL","Not Available","Not Available","10/27/2024"
"105052","FL","8.5","0.0","10/27/2024"
"105057","FL","0.0","0.0","10/27/2024"
"105067","FL","3.7","6.6","10/27/2024"
"105071","FL","15.7","16.0","10/27/2024"
"105072","FL","34.0","0.0","10/27/2024"
"105083","FL","16.4","1.1","10/27/2024"
"105089","FL","0.0","0.0","10/27/2024"
"105117","FL","6.7","0.0","10/27/2024"
"105119","FL","10.5","10.8","10/27/2024"
"105120","FL","34.8","0.9","10/27/2024"
"105125","FL","1.0","0.0","10/27/2024"
"105128","FL","23.5","0.5","10/27/2024"
"105132","FL","0.0","0.0","10/27/2024"
"105135","FL","0.0","1.5","10/27/2024"
"105138","FL","77.3","0.0","10/27/2024"
"105140","FL","0.0","0.0","10/27/2024"
"105145","FL","0.0","0.0","10/27/2024"
"105146","FL","2.1","3.7","10/27/2024"
"105147","FL","13.1","11.5","10/27/2024"
"105148","FL","0.0","0.0","10/27/2024"
"105149","FL","0.0","0.0","10/27/2024"
"105153","FL","16.7","0.0","10/27/2024"
"105155","FL","0.0","0.0","10/27/2024"
"105158","FL","40.6","9.5","10/27/2024"
"105159","FL","30.4","0.0","10/27/2024"
"105166","FL","0.0","0.0","10/27/2024"
"105172","FL","6.0","0.0","10/27/2024"
"105175","FL","0.0","0.0","10/27/2024"
"105176","FL","0.0","0.6","10/27/2024"
"105190","FL","8.7","1.2","10/27/2024"
"105193","FL","90.3","84.9","10/27/2024"
"105196","FL","0.0","0.0","10/27/2024"
"105202","FL","4.0","0.6","10/27/2024"
"105205","FL","0.0","0.0","10/27/2024"
"105207","FL","25.8","6.1","10/27/2024"
"105210","FL","27.4","0.0","10/27/2024"
"105217","FL","0.0","0.0","10/27/2024"
"105219","FL","0.0","0.0","10/27/2024"
"105228","FL","84.0","2.6","10/27/2024"
"105229","FL","0.0","0.0","10/27/2024"
"105232","FL","25.4","0.0","10/27/2024"
"105234","FL","32.0","0.0","10/27/2024"
"105237","FL","16.5","0.6","10/27/2024"
"105248","FL","14.8","0.0","10/27/2024"
"105250","FL","7.1","1.3","10/27/2024"
"105251","FL","Not Available","Not Available","10/27/2024"
"105252","FL","10.5","1.4","10/27/2024"
"105255","FL","0.0","0.0","10/27/2024"
"105257","FL","0.0","0.0","10/27/2024"
"105258","FL","0.0","0.0","10/27/2024"
"105259","FL","60.2","0.0","10/27/2024"
"105261","FL","0.0","50.0","10/27/2024"
"105262","FL","0.0","0.0","10/27/2024"
"105265","FL","0.0","85.0","10/27/2024"
"105267","FL","0.0","1.4","10/27/2024"
"105268","FL","14.1","0.0","10/27/2024"
"105269","FL","92.5","1.9","10/27/2024"
"105271","FL","26.4","28.6","10/27/2024"
"105274","FL","0.0","0.0","10/27/2024"
"105275","FL","0.0","0.0","10/27/2024"
"105277","FL","5.3","0.0","10/27/2024"
"105280","FL","50.0","0.0","10/27/2024"
"105282","FL","34.2","0.0","10/27/2024"
"105283","FL","28.0","0.0","10/27/2024"
"105286","FL","0.0","0.0","10/27/2024"
"105287","FL","0.6","0.0","10/27/2024"
"105289","FL","25.0","2.1","10/27/2024"
"105291","FL","22.6","0.0","10/27/2024"
"105292","FL","0.0","0.0","10/27/2024"
"105293","FL","0.0","0.0","10/27/2024"
"105295","FL","42.5","1.4","10/27/2024"
"105296","FL","86.7","0.0","10/27/2024"
"105297","FL","2.8","0.0","10/27/2024"
"105298","FL","5.6","1.8","10/27/2024"
"105299","FL","17.6","3.1","10/27/2024"
"105300","FL","6.2","1.6","10/27/2024"
"105301","FL","75.4","88.4","10/27/2024"
"105302","FL","75.2","28.6","10/27/2024"
"105304","FL","0.0","57.6","10/27/2024"
"105305","FL","72.7","100.0","10/27/2024"
"105307","FL","37.7","0.7","10/27/2024"
"105308","FL","0.0","2.6","10/27/2024"
"105310","FL","0.0","74.9","10/27/2024"
"105311","FL","Not Available","Not Available","10/27/2024"
"105315","FL","Not Available","Not Available","10/27/2024"
"105317","FL","Not Available","Not Available","10/27/2024"
"105319","FL","15.0","0.0","10/27/2024"
"105320","FL","46.9","6.6","10/27/2024"
"105321","FL","Not Available","Not Available","10/27/2024"
"105323","FL","60.0","10.3","10/27/2024"
"105324","FL","84.0","57.0","10/27/2024"
"105325","FL","89.7","74.5","10/27/2024"
"105326","FL","76.9","0.0","10/27/2024"
"105327","FL","0.0","0.0","10/27/2024"
"105328","FL","6.1","0.0","10/27/2024"
"105331","FL","10.1","0.0","10/27/2024"
"105332","FL","8.3","6.1","10/27/2024"
"105333","FL","2.7","0.0","10/27/2024"
"105335","FL","0.0","2.8","10/27/2024"
"105336","FL","48.3","0.0","10/27/2024"
"105342","FL","0.0","0.0","10/27/2024"
"105343","FL","0.0","0.0","10/27/2024"
"105346","FL","39.1","0.0","10/27/2024"
"105349","FL","0.8","0.0","10/27/2024"
"105350","FL","Not Available","Not Available","10/27/2024"
"105351","FL","2.9","0.0","10/27/2024"
"105352","FL","53.2","0.0","10/27/2024"
"105353","FL","4.3","0.0","10/27/2024"
"105354","FL","0.0","0.0","10/27/2024"
"105355","FL","1.5","0.0","10/27/2024"
"105358","FL","1.8","0.0","10/27/2024"
"105360","FL","28.2","0.0","10/27/2024"
"105362","FL","46.2","0.7","10/27/2024"
"105363","FL","0.6","0.0","10/27/2024"
"105364","FL","30.9","0.0","10/27/2024"
"105365","FL","49.8","0.0","10/27/2024"
"105366","FL","Not Available","Not Available","10/27/2024"
"105371","FL","1.6","0.6","10/27/2024"
"105372","FL","98.4","90.2","10/27/2024"
"105373","FL","0.0","0.0","10/27/2024"
"105374","FL","25.6","3.0","10/27/2024"
"105375","FL","6.7","0.7","10/27/2024"
"105376","FL","Not Available","Not Available","10/27/2024"
"105377","FL","38.6","0.0","10/27/2024"
"105378","FL","41.7","2.3","10/27/2024"
"105379","FL","35.6","0.0","10/27/2024"
"105381","FL","28.2","19.8","10/27/2024"
"105382","FL","0.0","0.0","10/27/2024"
"105385","FL","7.1","0.0","10/27/2024"
"105387","FL","22.3","1.8","10/27/2024"
"105389","FL","0.0","0.0","10/27/2024"
"105390","FL","18.8","34.0","10/27/2024"
"105392","FL","28.9","0.0","10/27/2024"
"105393","FL","Not Available","Not Available","10/27/2024"
"105394","FL","0.0","0.0","10/27/2024"
"105395","FL","0.0","0.0","10/27/2024"
"105396","FL","29.9","11.0","10/27/2024"
"105397","FL","1.5","0.0","10/27/2024"
"105398","FL","83.3","78.2","10/27/2024"
"105399","FL","0.0","0.0","10/27/2024"
"105401","FL","50.0","1.6","10/27/2024"
"105402","FL","9.1","1.5","10/27/2024"
"105404","FL","21.6","0.0","10/27/2024"
"105407","FL","77.5","0.0","10/27/2024"
"105408","FL","0.0","0.0","10/27/2024"
"105409","FL","Not Available","Not Available","10/27/2024"
"105410","FL","40.5","40.5","10/27/2024"
"105411","FL","17.1","12.3","10/27/2024"
"105413","FL","0.0","0.0","10/27/2024"
"105416","FL","38.8","55.1","10/27/2024"
"105417","FL","0.0","11.6","10/27/2024"
"105419","FL","0.0","0.0","10/27/2024"
"105420","FL","3.1","0.0","10/27/2024"
"105421","FL","72.7","72.7","10/27/2024"
"105422","FL","0.0","18.9","10/27/2024"
"105423","FL","55.5","0.0","10/27/2024"
"105426","FL","43.2","32.7","10/27/2024"
"105427","FL","20.8","0.0","10/27/2024"
"105428","FL","0.0","0.0","10/27/2024"
"105429","FL","9.5","0.0","10/27/2024"
"105430","FL","45.5","0.0","10/27/2024"
"105431","FL","47.0","0.0","10/27/2024"
"105432","FL","70.2","67.4","10/27/2024"
"105433","FL","0.0","0.0","10/27/2024"
"105434","FL","1.1","0.0","10/27/2024"
"105435","FL","0.0","0.0","10/27/2024"
"105436","FL","80.0","76.5","10/27/2024"
"105437","FL","28.3","0.0","10/27/2024"
"105438","FL","0.0","0.0","10/27/2024"
"105439","FL","75.5","0.0","10/27/2024"
"105440","FL","0.0","0.0","10/27/2024"
"105441","FL","2.5","0.2","10/27/2024"
"105442","FL","50.9","1.0","10/27/2024"
"105443","FL","0.0","0.0","10/27/2024"
"105444","FL","0.0","0.8","10/27/2024"
"105445","FL","0.0","0.0","10/27/2024"
"105447","FL","19.6","0.0","10/27/2024"
"105448","FL","4.1","59.8","10/27/2024"
"105449","FL","66.3","0.0","10/27/2024"
"105451","FL","0.0","0.0","10/27/2024"
"105452","FL","44.2","6.7","10/27/2024"
"105453","FL","55.6","0.0","10/27/2024"
"105454","FL","81.3","86.2","10/27/2024"
"105455","FL","40.7","53.5","10/27/2024"
"105458","FL","21.8","1.8","10/27/2024"
"105459","FL","0.0","0.0","10/27/2024"
"105460","FL","87.4","63.8","10/27/2024"
"105461","FL","0.0","0.0","10/27/2024"
"105462","FL","0.0","0.0","10/27/2024"
"105463","FL","26.2","2.0","10/27/2024"
"105464","FL","24.8","0.0","10/27/2024"
"105465","FL","27.9","62.6","10/27/2024"
"105466","FL","6.8","15.9","10/27/2024"
"105467","FL","47.4","0.6","10/27/2024"
"105468","FL","0.0","0.0","10/27/2024"
"105470","FL","69.8","64.0","10/27/2024"
"105471","FL","Not Available","Not Available","10/27/2024"
"105472","FL","25.9","95.7","10/27/2024"
"105473","FL","3.8","1.3","10/27/2024"
"105474","FL","9.9","25.3","10/27/2024"
"105475","FL","55.8","4.4","10/27/2024"
"105476","FL","2.4","94.6","10/27/2024"
"105477","FL","0.0","0.0","10/27/2024"
"105478","FL","3.2","0.0","10/27/2024"
"105479","FL","0.0","0.0","10/27/2024"
"105480","FL","71.4","37.8","10/27/2024"
"105481","FL","30.2","2.8","10/27/2024"
"105482","FL","4.3","53.8","10/27/2024"
"105484","FL","27.0","0.0","10/27/2024"
"105485","FL","1.1","0.7","10/27/2024"
"105486","FL","18.2","0.7","10/27/2024"
"105487","FL","0.0","0.0","10/27/2024"
"105488","FL","0.9","0.0","10/27/2024"
"105489","FL","70.0","0.0","10/27/2024"
"105491","FL","0.0","0.0","10/27/2024"
"105492","FL","36.7","0.0","10/27/2024"
"105494","FL","0.0","0.0","10/27/2024"
"105495","FL","2.1","3.4","10/27/2024"
"105496","FL","Not Available","Not Available","10/27/2024"
"105497","FL","64.6","0.0","10/27/2024"
"105498","FL","0.0","0.0","10/27/2024"
"105499","FL","5.2","0.0","10/27/2024"
"105504","FL","19.4","3.8","10/27/2024"
"105505","FL","8.8","0.0","10/27/2024"
"105506","FL","2.7","0.0","10/27/2024"
"105507","FL","86.9","19.3","10/27/2024"
"105508","FL","5.3","0.0","10/27/2024"
"105509","FL","31.4","38.1","10/27/2024"
"105510","FL","15.2","25.2","10/27/2024"
"105511","FL","22.9","0.0","10/27/2024"
"105512","FL","0.0","0.0","10/27/2024"
"105513","FL","0.0","0.0","10/27/2024"
"105514","FL","73.9","0.0","10/27/2024"
"105515","FL","47.7","0.0","10/27/2024"
"105516","FL","23.3","0.0","10/27/2024"
"105518","FL","24.8","78.7","10/27/2024"
"105519","FL","29.1","0.0","10/27/2024"
"105521","FL","0.0","5.4","10/27/2024"
"105522","FL","15.9","7.0","10/27/2024"
"105523","FL","53.3","39.7","10/27/2024"
"105524","FL","17.9","14.3","10/27/2024"
"105525","FL","56.4","1.9","10/27/2024"
"105526","FL","0.0","86.1","10/27/2024"
"105528","FL","54.2","0.0","10/27/2024"
"105529","FL","38.1","24.7","10/27/2024"
"105530","FL","38.3","0.0","10/27/2024"
"105531","FL","10.2","7.8","10/27/2024"
"105532","FL","5.3","0.0","10/27/2024"
"105533","FL","0.0","0.0","10/27/2024"
"105537","FL","Not Available","Not Available","10/27/2024"
"105538","FL","24.4","2.7","10/27/2024"
"105539","FL","0.0","0.0","10/27/2024"
"105541","FL","77.3","6.5","10/27/2024"
"105543","FL","26.0","0.0","10/27/2024"
"105544","FL","0.5","0.4","10/27/2024"
"105546","FL","57.5","10.2","10/27/2024"
"105547","FL","28.6","20.8","10/27/2024"
"105548","FL","7.0","0.0","10/27/2024"
"105549","FL","70.7","77.0","10/27/2024"
"105550","FL","25.3","0.0","10/27/2024"
"105551","FL","41.7","87.9","10/27/2024"
"105552","FL","0.0","0.0","10/27/2024"
